5雅典娜澡堂洗澡！气到敌方投降！！！    正恒-许仙   98.7万
胆小者勿进    厌世小孤影   62.2万
猴子(双穿) 跳跳猴，带粉输一把100    丹海-至尊宝   13.1万
戒豆开始！胡500万发红包！    曹操大表哥   59.6万
2分钟一血!全AD阿轲把我秀晕了?    Yx9丶空伐   50.9万
死四次做蹲起    艾小米Angel   38.6万
童子：最后一战，只差1500分！    EL-童子   26.8万
第一阿珂免费带粉，王者26星以下可以上车    Yx9丶楚风   1.4万
第一女貂蝉带粉五排高铁起飞~    东辰-九九   2.0万
国服绑手木兰，单排258操作秀~    梦飞大大   23.7万
【重播】18:00 QG vs eStar    KPL职业联赛   23.0万
单排对面泉水一打五不死秘籍    大西瓜骚皮皮   20.2万
殿堂级貂蝉 神秀1v5    东辰-小舞姬   1.9万
第一李白 单排王者局教你超光速连招！！    正恒丶风度   15.5万
王者上星 40-50冲鸭    EL-筱倩   14.4万
最骚吕布 单排45星必上荣耀吕德华    Dx-预见   15.1万
大胆冰！探灵笔记！    东辰-寒冰   11.9万
全网第一手速王 第一露娜 吓哭路人求带飞    酒馆不卖酒   11.9万
国服守约巅峰赛冲分怒怼前10    Dae-六尾   8.2万
【国服猴子】身法 56-76星    LD-斩神   7.9万
国服号单排高星 60-76    LD-醉马   8.1万
后羿40星高端5排 祭猪流创始人    远方   7.6万
嗜血小书包在线带粉 云中君    流年-乔妹   6.4万
无敌女刺客带你躺    东辰阿萱   5.9万
国服木兰专场 带粉中zZzzZZ    961丶灵不二   4.9万
第一阿轲 单排56-80    圣诺-可乐   5.6万
【国一马克】巅峰赛1800分    BA小兽   4.9万
国服甄姬吧六    WQ-阿耀   4.2万
安卓号排位轻轻松松    AG超玩会Vv   3.9万
祝肥咻爸爸生日快乐！！！！    东辰-张小妹   4.2万
第一铠：拯救不开心    虎牙-开心   4.2万
云中君专场一带四细节解说    蓝新-斯洛   3.3万
巅峰赛    WE丶762   3.1万
单排38x冲国服诸葛~    BA居居   3.1万
